,id,row,tier,pix_count,hand_count
0,18PS8042,row-43,tier-19,875,59.0
1,18PS5068,row-34,tier-8,393,55.0
2,18PS7017,row-45,tier-10,205,64.0
3,18PS9015,row-42,tier-21,295,51.0
4,18PS1033,row-5,tier-5,105,49.0
5,18PS5146,row-32,tier-16,108,54.0
6,18PS1200,row-12,tier-21,753,60.0
7,18PS5080,row-36,tier-9,312,44.0
8,18PS6048,row-40,tier-6,159,44.0
9,18PS7039,row-45,tier-12,844,71.0
10,18PS6065,row-46,tier-7,68,67.0
11,18PS1042,row-4,tier-6,115,51.0
12,18PS7010,row-38,tier-10,333,66.0
13,18PS9012,row-39,tier-21,240,31.0
14,18PS1216,row-8,tier-23,141,29.0
15,18PS5044,row-30,tier-6,139,51.0
16,18PS7060,row-44,tier-14,366,68.0
17,18PS0062,row-18,tier-24,348,40.0
18,18PS1131,row-3,tier-15,270,53.0
19,18PS1102,row-4,tier-12,196,59.0
20,18PS5100,row-36,tier-11,393,58.0
21,18PS0016,row-19,tier-21,97,19.0
22,18PS8041,row-42,tier-19,247,40.0
23,18PS0003,row-17,tier-20,529,35.0
24,18PS9059,row-39,tier-24,294,40.0
25,18PS0058,row-14,tier-24,367,34.0
26,18PS0053,row-9,tier-24,161,27.0
27,18PS7070,row-43,tier-15,596,71.0
28,18PS7016,row-44,tier-10,125,52.0
29,18PS1064,row-6,tier-8,137,52.0
30,18PS6071,row-41,tier-8,22,49.0
31,18PS6069,row-39,tier-8,464,65.0
32,18PS8016,row-39,tier-17,337,44.0
33,18PS5120,row-36,tier-13,676,51.0
34,18PS5014,row-30,tier-3,91,35.0
35,18PS2024,row-14,tier-4,21,29.0
36,18PS7022,row-39,tier-11,681,58.0
37,18PS5098,row-34,tier-11,544,50.0
38,18PS7019,row-47,tier-10,481,64.0
39,18PS5162,row-28,tier-18,234,59.0
40,18PS1145,row-7,tier-16,612,43.0
41,18PS1114,row-6,tier-13,75,50.0
42,18PS9005,row-43,tier-20,201,36.0
43,18PS1210,row-12,tier-22,837,57.0
44,18PS1213,row-5,tier-23,618,64.0
45,18PS1076,row-8,tier-9,54,41.0
46,18PS2010,row-22,tier-2,6,63.0
47,18PS5009,row-35,tier-2,72,35.0
48,18PS3013,row-17,tier-10,232,48.0
49,18PS1037,row-9,tier-5,92,48.0
50,18PS8043,row-44,tier-19,626,69.0
51,18PS1110,row-12,tier-12,186,59.0
52,18PS9055,row-35,tier-24,376,31.0
53,18PS5017,row-33,tier-3,353,56.0
54,18PS1081,row-3,tier-10,106,48.0
55,18PS4047,row-13,tier-20,1025,44.0
56,18PS4018,row-17,tier-17,332,30.0
57,18PS5116,row-32,tier-13,511,48.0
58,18PS1173,row-5,tier-19,343,59.0
59,18PS1103,row-5,tier-12,386,44.0
60,18PS3032,row-14,tier-12,427,51.0
61,18PS1149,row-11,tier-16,1190,49.0
62,18PS5084,row-30,tier-10,506,38.0
63,18PS5128,row-34,tier-14,336,47.0
64,18PS2077,row-23,tier-8,301,59.0
65,18PS1191,row-3,tier-21,380,63.0
66,18PS1193,row-5,tier-21,294,45.0
67,18PS2003,row-15,tier-2,138,75.0
68,18PS3014,row-18,tier-10,192,38.0
69,18PS2050,row-18,tier-6,470,58.0
70,18PS7044,row-39,tier-13,651,62.0
71,18PS2007,row-19,tier-2,301,62.0
72,18PS1208,row-10,tier-22,274,51.0
73,18PS2041,row-20,tier-5,429,47.0
74,18PS1003,row-5,tier-2,92,46.0
75,18PS1040,row-12,tier-5,332,53.0
76,18PS1044,row-6,tier-6,199,46.0
77,18PS5131,row-27,tier-15,482,46.0
78,18PS6018,row-43,tier-3,197,56.0
79,18PS1099,row-11,tier-11,411,43.0
80,18PS5006,row-32,tier-2,115,54.0
81,18PS5077,row-33,tier-9,839,70.0
82,18PS5035,row-31,tier-5,560,65.0
83,18PS1179,row-11,tier-19,473,66.0
84,18PS7015,row-43,tier-10,395,52.0
85,18PS1017,row-9,tier-3,17,45.0
86,18PS5052,row-28,tier-7,98,51.0
87,18PS2004,row-16,tier-2,181,41.0
88,18PS9014,row-41,tier-21,237,34.0
89,18PS0037,row-14,tier-23,69,24.0
90,18PS1006,row-8,tier-2,155,54.0
91,18PS5112,row-28,tier-13,758,43.0
92,18PS5027,row-33,tier-4,375,49.0
93,18PS1009,row-11,tier-2,208,40.0
94,18PS1141,row-3,tier-16,14,47.0
95,18PS7033,row-39,tier-12,493,46.0
96,18PS0031,row-23,tier-22,347,40.0
97,18PS4022,row-21,tier-17,812,41.0
98,18PS1156,row-8,tier-17,240,34.0
