germ_ID,row_tier_tags,id_and_rt,x,y,area,area_sum
17TXRW7018-20,row-1__tier-1,17TXRW7018-20__row-1__tier-1,28,49,18.0,47.5
17TXRW7018-20,row-1__tier-1,17TXRW7018-20__row-1__tier-1,239,53,13.5,47.5
17TXRW7018-20,row-1__tier-1,17TXRW7018-20__row-1__tier-1,245,52,16.0,47.5
17TXRW7018-20,row-2__tier-1,17TXRW7018-20__row-2__tier-1,86,57,22.0,415.0
17TXRW7018-20,row-2__tier-1,17TXRW7018-20__row-2__tier-1,166,58,26.5,415.0
17TXRW7018-20,row-2__tier-1,17TXRW7018-20__row-2__tier-1,190,60,25.5,415.0
17TXRW7018-20,row-2__tier-1,17TXRW7018-20__row-2__tier-1,224,57,14.5,415.0
17TXRW7018-20,row-2__tier-1,17TXRW7018-20__row-2__tier-1,236,56,135.0,415.0
17TXRW7018-20,row-2__tier-1,17TXRW7018-20__row-2__tier-1,247,59,62.5,415.0
17TXRW7018-20,row-2__tier-1,17TXRW7018-20__row-2__tier-1,269,62,29.5,415.0
17TXRW7018-20,row-2__tier-1,17TXRW7018-20__row-2__tier-1,297,62,40.5,415.0
17TXRW7018-20,row-2__tier-1,17TXRW7018-20__row-2__tier-1,314,61,24.5,415.0
17TXRW7018-20,row-2__tier-1,17TXRW7018-20__row-2__tier-1,342,63,14.0,415.0
17TXRW7018-20,row-2__tier-1,17TXRW7018-20__row-2__tier-1,366,61,20.5,415.0
17TXRW7018-20,row-3__tier-1,17TXRW7018-20__row-3__tier-1,189,56,29.0,421.5
17TXRW7018-20,row-3__tier-1,17TXRW7018-20__row-3__tier-1,229,58,44.5,421.5
17TXRW7018-20,row-3__tier-1,17TXRW7018-20__row-3__tier-1,281,59,18.5,421.5
17TXRW7018-20,row-3__tier-1,17TXRW7018-20__row-3__tier-1,315,58,39.5,421.5
17TXRW7018-20,row-3__tier-1,17TXRW7018-20__row-3__tier-1,374,61,28.0,421.5
17TXRW7018-20,row-3__tier-1,17TXRW7018-20__row-3__tier-1,392,60,19.5,421.5
17TXRW7018-20,row-3__tier-1,17TXRW7018-20__row-3__tier-1,416,60,55.0,421.5
17TXRW7018-20,row-3__tier-1,17TXRW7018-20__row-3__tier-1,471,62,25.0,421.5
17TXRW7018-20,row-3__tier-1,17TXRW7018-20__row-3__tier-1,502,61,41.0,421.5
17TXRW7018-20,row-3__tier-1,17TXRW7018-20__row-3__tier-1,524,62,39.0,421.5
17TXRW7018-20,row-3__tier-1,17TXRW7018-20__row-3__tier-1,538,62,82.5,421.5
17TXRW7018-20,row-4__tier-1,17TXRW7018-20__row-4__tier-1,42,53,14.0,540.5
17TXRW7018-20,row-4__tier-1,17TXRW7018-20__row-4__tier-1,106,54,60.0,540.5
