,start_date,end_date,rain_sum
0,2001-05-15,2001-10-11,94.7
1,2002-05-15,2002-10-11,190.90000000000003
2,2003-05-15,2003-10-11,166.8
3,2004-05-14,2004-10-10,308.0
4,2005-05-15,2005-10-11,206.0
5,2006-05-15,2006-10-11,241.2
6,2007-05-15,2007-10-11,237.7
7,2008-05-14,2008-10-10,358.9
8,2009-05-15,2009-10-11,175.0
9,2010-05-15,2010-10-11,243.70000000000005
10,2011-05-15,2011-10-11,74.19999999999999
11,2012-05-14,2012-10-10,138.7
12,2013-05-15,2013-10-11,267.0
13,2014-05-15,2014-10-11,399.1
14,2015-05-15,2015-10-11,309.0
15,2016-05-14,2016-10-10,323.6
16,2017-05-15,2017-10-11,340.29999999999995
