"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2018","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - ACRES PLANTED","TOTAL","NOT SPECIFIED","7,412,000",""
"SURVEY","2018","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - PRODUCTION, MEASURED IN 480 LB BALES","TOTAL","NOT SPECIFIED","6,522,000",""
"SURVEY","2018","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","726",""
"SURVEY","2017","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - ACRES PLANTED","TOTAL","NOT SPECIFIED","6,914,000",""
"SURVEY","2017","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - PRODUCTION, MEASURED IN 480 LB BALES","TOTAL","NOT SPECIFIED","9,296,000",""
"SURVEY","2017","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","809",""
"SURVEY","2016","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - ACRES PLANTED","TOTAL","NOT SPECIFIED","5,667,000",""
"SURVEY","2016","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - PRODUCTION, MEASURED IN 480 LB BALES","TOTAL","NOT SPECIFIED","8,133,000",""
"SURVEY","2016","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","749",""
"SURVEY","2015","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - ACRES PLANTED","TOTAL","NOT SPECIFIED","4,817,000",""
"SURVEY","2015","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - PRODUCTION, MEASURED IN 480 LB BALES","TOTAL","NOT SPECIFIED","5,748,000",""
"SURVEY","2015","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","611",""
"SURVEY","2014","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - ACRES PLANTED","TOTAL","NOT SPECIFIED","6,217,000",""
"SURVEY","2014","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - PRODUCTION, MEASURED IN 480 LB BALES","TOTAL","NOT SPECIFIED","6,203,000",""
"SURVEY","2014","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","645",""
"SURVEY","2013","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - ACRES PLANTED","TOTAL","NOT SPECIFIED","5,809,000",""
"SURVEY","2013","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - PRODUCTION, MEASURED IN 480 LB BALES","TOTAL","NOT SPECIFIED","4,185,000",""
"SURVEY","2013","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","646",""
"SURVEY","2012","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - ACRES PLANTED","TOTAL","NOT SPECIFIED","6,508,000",""
"SURVEY","2012","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - PRODUCTION, MEASURED IN 480 LB BALES","TOTAL","NOT SPECIFIED","5,014,500",""
"SURVEY","2012","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","632",""
"SURVEY","2011","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - ACRES PLANTED","TOTAL","NOT SPECIFIED","7,570,000",""
"SURVEY","2011","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - PRODUCTION, MEASURED IN 480 LB BALES","TOTAL","NOT SPECIFIED","3,540,000",""
"SURVEY","2011","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","592",""
"SURVEY","2010","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - ACRES PLANTED","TOTAL","NOT SPECIFIED","5,567,000",""
"SURVEY","2010","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","COTTON","COTTON - PRODUCTION, MEASURED IN 480 LB BALES","TOTAL","NOT SPECIFIED","7,871,000",""
